City,Item,Price
Kolkata,1 BHK Outside City Centreper month,"₹7,500"
Kolkata,2 BHK in City Centreper month,"₹25,000"
Kolkata,2 BHK Outside City Centreper month,"₹13,000"
Kolkata,3 BHK in City Centreper month,"₹42,000"
Kolkata,3 BHK Outside City Centreper month,"₹22,000"
Kolkata,Home Loan EMI (2BHK avg)per month,"₹31,000"
Kolkata,PG - Private Room (with meals)per month,"₹10,000"
Kolkata,PG - Private Room (without meals)per month,"₹7,500"
Kolkata,PG - Double Sharing (with meals)per month,"₹7,000"
Kolkata,PG - Double Sharing (without meals)per month,"₹5,000"
Kolkata,PG - Triple Sharing (with meals)per month,"₹5,500"
Kolkata,PG - Triple Sharing (without meals)per month,"₹4,000"
Kolkata,"Cook (part-time, 2 meals/day)per month","₹4,500"
Kolkata,Maid / Cleaning Helpper month,"₹1,500"
Kolkata,Laundry / Ironing (dhobi)per month,₹800
Kolkata,Miscellaneous Monthly Spendper month,"₹1,800"
Kolkata,Men's Casual Shirt (Zara/H&M)per piece,"₹2,500"
Kolkata,Women's Dress (Myntra/Zara)per piece,"₹2,000"
Kolkata,Running Shoes (Nike/Adidas)per pair,"₹5,500"
Kolkata,Skincare Basics (Nykaa avg)per month,"₹1,200"
Kolkata,Amazon Prime Membershipper month,₹149
Kolkata,Gym Membershipper month,"₹1,200"
Kolkata,Movie Ticket (Multiplex)per ticket,₹200
Kolkata,Netflix (Standard Plan)per month,₹649
Kolkata,Spotify Premiumper month,₹119
Kolkata,"Haircut (Men, basic salon)per cut",₹100
Kolkata,"Domestic Beer (pint, restaurant)per pint",₹180
Kolkata,"Imported Beer (bottle, restaurant)per bottle",₹350
Ahmedabad,Veg Thali (local restaurant)per plate,₹90
Ahmedabad,Non-Veg Thali (local restaurant)per plate,₹160
Ahmedabad,Meal for Two (high-end restaurant)per meal,"₹1,100"
Ahmedabad,Chai (regular cup)per cup,₹12
Ahmedabad,Coffee (Cappuccino)per cup,₹170
Ahmedabad,Specialty Coffee (Third Wave)per cup,₹230
Ahmedabad,Street Food (Vada Pav / Samosa)per piece,₹15
Ahmedabad,Biryani (chicken)per plate,₹180
Ahmedabad,Dosa (plain)per plate,₹60
Ahmedabad,Fast Food Combo (McDonald's)per meal,₹240
Ahmedabad,"Soft Drink (Coca-Cola, 300ml)per bottle",₹35
Ahmedabad,Bottled Water (1 litre)per bottle,₹20
Ahmedabad,Rice (Basmati)1 kg,₹95
Ahmedabad,Wheat Flour (Atta)1 kg,₹48
Ahmedabad,Toor Dal1 kg,₹148
Ahmedabad,Milk (Full Cream)1 litre,₹56
Ahmedabad,Eggs12 pcs,₹75
Ahmedabad,Chicken1 kg,₹230
Ahmedabad,Paneer1 kg,₹350
Ahmedabad,Onions1 kg,₹30
Ahmedabad,Tomatoes1 kg,₹38
Ahmedabad,Potatoes1 kg,₹28
Ahmedabad,Cooking Oil (Sunflower)1 litre,₹148
Ahmedabad,Sugar1 kg,₹44
Ahmedabad,Apples (Shimla)1 kg,₹195
Ahmedabad,Bananas1 dozen,₹45
Ahmedabad,"Bread (White, Sliced)1 loaf",₹42
Ahmedabad,Whey Protein (1 kg)per kg,"₹3,000"
Ahmedabad,Auto Rickshaw (minimum fare)per ride,₹20
Ahmedabad,Auto Rickshaw (per km after min)per km,₹12
Ahmedabad,Metro / Local Train (monthly pass)per month,"₹1,000"
